HHNR;Wegnummer;Distanz_km;Emissionen;Verkehrsmittel
113378;1;2.0;0.0;Zu Fuss
113381;1;5.236;0.0;Zu Fuss
113384;4;6.524;665.993873755814;Auto, Zu Fuss
113385;6;15.109;2019.692657270792;Auto
113386;5;2.854;0.0;Zu Fuss
113388;3;55.989;11646.1967644637;Auto
113396;3;0.682;0.0;Zu Fuss
113414;1;3.199;758.843418192447;Auto
113414;3;3.199;758.843418192447;Auto
113416;1;14.125;3944.8212197869993;Auto
113416;2;17.86;4987.929698081119;Auto
113429;1;2.0;0.0;Zu Fuss
113429;5;1.622;0.0;Zu Fuss
113436;1;43.232;12073.806086642942;Auto
113454;1;0.847;0.0;Zu Fuss
113459;3;2.5;0.0;Zu Fuss
113467;4;0.362;0.0;Zu Fuss
113467;5;0.532;0.0;Zu Fuss
113478;4;2.0;0.0;Zu Fuss
113482;1;4.984;0.0;Zu Fuss
113508;3;2.0;0.0;Zu Fuss
113508;5;0.392;0.0;Zu Fuss
113512;1;5.96;0.0;Zu Fuss
113516;1;3.914;704.261322182228;Auto
113533;3;14.876;1924.2426525287717;Auto
113535;1;0.2;0.0;Zu Fuss
113535;2;1.872;0.0;Zu Fuss
113535;3;2.0;0.0;Zu Fuss
113542;1;2.172;0.0;Zu Fuss
113546;1;1.0;0.0;Zu Fuss
113565;2;4.23;0.0;Zu Fuss
113567;3;12.24;3043.5091240471197;Auto
113586;1;2.5;0.0;Zu Fuss
113586;4;3.608;20.132753298416;Velo
113613;2;0.473;0.0;Zu Fuss
113629;1;2.5;0.0;Zu Fuss
113633;5;0.7;0.0;Zu Fuss
113642;1;4.467;735.6424956522269;Motorrad
113642;2;4.087;673.062654965447;Motorrad
113642;3;6.691;1101.899247461171;Motorrad
113658;1;1.5;0.0;Zu Fuss
113658;4;7.469;1771.741635035757;Auto
113664;1;2.002;0.0;Zu Fuss
113673;1;24.486;3746.7584109389277;Auto
113704;2;0.265;0.0;Zu Fuss
113704;4;0.265;0.0;Zu Fuss
113706;2;2.5;0.0;Zu Fuss
113706;4;1.316;0.0;Zu Fuss
113712;1;0.884;0.0;Zu Fuss
113717;1;0.542;0.0;Zu Fuss
113719;1;1.125;0.0;Zu Fuss
113719;2;1.265;227.61639564652998;Auto
113746;3;0.408;0.0;Zu Fuss
113746;5;0.408;0.0;Zu Fuss
113748;1;3.13;35.44992606549;E-Bike_25
113754;1;14.245;3379.0948709444847;Auto
